Domain,Indicator,CD,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Definition,Source
Health,Premature Mortality Rate,Brooklyn CD 3,*,*,*,*,*,*,3.2,2.9,3.0,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Brooklyn CD 4,*,*,*,*,*,*,2.3,2.0,2.1,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Brooklyn CD 5,*,*,*,*,*,*,2.8,2.5,2.7,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Brooklyn CD 6,*,*,*,*,*,*,1.4,1.4,1.4,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Brooklyn CD 7,*,*,*,*,*,*,1.2,1.4,1.5,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Brooklyn CD 8,*,*,*,*,*,*,2.4,2.5,2.4,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Brooklyn CD 9,*,*,*,*,*,*,2.1,1.9,2.0,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Brooklyn CD 10,*,*,*,*,*,*,1.6,1.6,1.2,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Brooklyn CD 11,*,*,*,*,*,*,1.4,1.3,1.4,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Brooklyn CD 12,*,*,*,*,*,*,1.3,1.2,1.3,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Brooklyn CD 13,*,*,*,*,*,*,2.3,2.2,1.9,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Brooklyn CD 14,*,*,*,*,*,*,1.8,1.8,1.8,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Brooklyn CD 15,*,*,*,*,*,*,1.5,1.6,1.3,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Brooklyn CD 16,*,*,*,*,*,*,3.7,3.7,3.4,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Brooklyn CD 17,*,*,*,*,*,*,2.2,2.1,1.9,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Brooklyn CD 18,*,*,*,*,*,*,1.6,1.7,1.6,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Manhattan CD 1,*,*,*,*,*,*,1.0,0.6,0.7,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Manhattan CD 2,*,*,*,*,*,*,1.4,0.8,0.6,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Manhattan CD 3,*,*,*,*,*,*,1.9,1.6,1.9,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Manhattan CD 4,*,*,*,*,*,*,1.3,1.3,1.5,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Manhattan CD 5,*,*,*,*,*,*,1.5,1.5,1.1,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Manhattan CD 6,*,*,*,*,*,*,1.0,0.9,1.0,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Manhattan CD 7,*,*,*,*,*,*,1.1,1.2,1.2,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Manhattan CD 8,*,*,*,*,*,*,1.0,0.9,0.8,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Manhattan CD 9,*,*,*,*,*,*,1.9,1.6,1.6,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Manhattan CD 10,*,*,*,*,*,*,3.0,2.9,2.8,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Manhattan CD 11,*,*,*,*,*,*,3.3,2.5,2.8,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Manhattan CD 12,*,*,*,*,*,*,1.5,1.3,1.4,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Queens CD 1,*,*,*,*,*,*,1.3,1.4,1.4,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Queens CD 2,*,*,*,*,*,*,1.1,1.1,1.2,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Queens CD 3,*,*,*,*,*,*,1.2,1.3,1.1,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Queens CD 4,*,*,*,*,*,*,1.1,1.1,1.1,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Queens CD 5,*,*,*,*,*,*,1.6,1.6,1.6,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Queens CD 6,*,*,*,*,*,*,1.0,1.0,1.0,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Queens CD 7,*,*,*,*,*,*,1.1,1.2,1.2,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Queens CD 8,*,*,*,*,*,*,1.4,1.1,1.2,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Queens CD 9,*,*,*,*,*,*,1.3,1.4,1.4,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Queens CD 10,*,*,*,*,*,*,1.7,1.5,1.6,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Queens CD 11,*,*,*,*,*,*,0.9,0.9,0.8,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Queens CD 12,*,*,*,*,*,*,1.9,2.0,1.9,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Queens CD 13,*,*,*,*,*,*,1.2,1.2,1.2,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Queens CD 14,*,*,*,*,*,*,2.9,2.6,2.7,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Staten Island CD 1,*,*,*,*,*,*,2.2,2.3,2.3,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Staten Island CD 2,*,*,*,*,*,*,1.7,1.8,1.6,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Staten Island CD 3,*,*,*,*,*,*,1.5,1.6,1.6,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Core Infrastructure & the Environment,Outdoor Air Pollution - Fine Particulate Matter (PM2.5) Levels ,Bronx CD 1,*,*,*,*,*,*,*,*,10.0,*,*,PM2.5 is fine particulate matter with a diameter smaller than 2.5 microns. It is made up of very small airborne solid and liquid droplet pollutants either emitted directly or formed in the atmosphere when other pollutants react with sunlight. It is small enough to be inhaled into the lungs and to enter the bloodstream. The unit of measurement is micrograms (one-millionth of a gram) of PM2.5 per cubic meter of air (μg/m3).,NYC Community Air Survey (NYCCAS)
Core Infrastructure & the Environment,Outdoor Air Pollution - Fine Particulate Matter (PM2.5) Levels ,Bronx CD 2,*,*,*,*,*,*,*,*,9.8,*,*,PM2.5 is fine particulate matter with a diameter smaller than 2.5 microns. It is made up of very small airborne solid and liquid droplet pollutants either emitted directly or formed in the atmosphere when other pollutants react with sunlight. It is small enough to be inhaled into the lungs and to enter the bloodstream. The unit of measurement is micrograms (one-millionth of a gram) of PM2.5 per cubic meter of air (μg/m3).,NYC Community Air Survey (NYCCAS)
Core Infrastructure & the Environment,Outdoor Air Pollution - Fine Particulate Matter (PM2.5) Levels ,Bronx CD 3,*,*,*,*,*,*,*,*,9.4,*,*,PM2.5 is fine particulate matter with a diameter smaller than 2.5 microns. It is made up of very small airborne solid and liquid droplet pollutants either emitted directly or formed in the atmosphere when other pollutants react with sunlight. It is small enough to be inhaled into the lungs and to enter the bloodstream. The unit of measurement is micrograms (one-millionth of a gram) of PM2.5 per cubic meter of air (μg/m3).,NYC Community Air Survey (NYCCAS)
Core Infrastructure & the Environment,Outdoor Air Pollution - Fine Particulate Matter (PM2.5) Levels ,Bronx CD 4,*,*,*,*,*,*,*,*,10.0,*,*,PM2.5 is fine particulate matter with a diameter smaller than 2.5 microns. It is made up of very small airborne solid and liquid droplet pollutants either emitted directly or formed in the atmosphere when other pollutants react with sunlight. It is small enough to be inhaled into the lungs and to enter the bloodstream. The unit of measurement is micrograms (one-millionth of a gram) of PM2.5 per cubic meter of air (μg/m3).,NYC Community Air Survey (NYCCAS)
Core Infrastructure & the Environment,Outdoor Air Pollution - Fine Particulate Matter (PM2.5) Levels ,Bronx CD 5,*,*,*,*,*,*,*,*,10.1,*,*,PM2.5 is fine particulate matter with a diameter smaller than 2.5 microns. It is made up of very small airborne solid and liquid droplet pollutants either emitted directly or formed in the atmosphere when other pollutants react with sunlight. It is small enough to be inhaled into the lungs and to enter the bloodstream. The unit of measurement is micrograms (one-millionth of a gram) of PM2.5 per cubic meter of air (μg/m3).,NYC Community Air Survey (NYCCAS)
Core Infrastructure & the Environment,Outdoor Air Pollution - Fine Particulate Matter (PM2.5) Levels ,Bronx CD 6,*,*,*,*,*,*,*,*,9.5,*,*,PM2.5 is fine particulate matter with a diameter smaller than 2.5 microns. It is made up of very small airborne solid and liquid droplet pollutants either emitted directly or formed in the atmosphere when other pollutants react with sunlight. It is small enough to be inhaled into the lungs and to enter the bloodstream. The unit of measurement is micrograms (one-millionth of a gram) of PM2.5 per cubic meter of air (μg/m3).,NYC Community Air Survey (NYCCAS)
Core Infrastructure & the Environment,Outdoor Air Pollution - Fine Particulate Matter (PM2.5) Levels ,Bronx CD 7,*,*,*,*,*,*,*,*,9.4,*,*,PM2.5 is fine particulate matter with a diameter smaller than 2.5 microns. It is made up of very small airborne solid and liquid droplet pollutants either emitted directly or formed in the atmosphere when other pollutants react with sunlight. It is small enough to be inhaled into the lungs and to enter the bloodstream. The unit of measurement is micrograms (one-millionth of a gram) of PM2.5 per cubic meter of air (μg/m3).,NYC Community Air Survey (NYCCAS)
Core Infrastructure & the Environment,Outdoor Air Pollution - Fine Particulate Matter (PM2.5) Levels ,Bronx CD 8,*,*,*,*,*,*,*,*,8.9,*,*,PM2.5 is fine particulate matter with a diameter smaller than 2.5 microns. It is made up of very small airborne solid and liquid droplet pollutants either emitted directly or formed in the atmosphere when other pollutants react with sunlight. It is small enough to be inhaled into the lungs and to enter the bloodstream. The unit of measurement is micrograms (one-millionth of a gram) of PM2.5 per cubic meter of air (μg/m3).,NYC Community Air Survey (NYCCAS)
Core Infrastructure & the Environment,Outdoor Air Pollution - Fine Particulate Matter (PM2.5) Levels ,Bronx CD 9,*,*,*,*,*,*,*,*,8.9,*,*,PM2.5 is fine particulate matter with a diameter smaller than 2.5 microns. It is made up of very small airborne solid and liquid droplet pollutants either emitted directly or formed in the atmosphere when other pollutants react with sunlight. It is small enough to be inhaled into the lungs and to enter the bloodstream. The unit of measurement is micrograms (one-millionth of a gram) of PM2.5 per cubic meter of air (μg/m3).,NYC Community Air Survey (NYCCAS)
Core Infrastructure & the Environment,Outdoor Air Pollution - Fine Particulate Matter (PM2.5) Levels ,Bronx CD 10,*,*,*,*,*,*,*,*,8.7,*,*,PM2.5 is fine particulate matter with a diameter smaller than 2.5 microns. It is made up of very small airborne solid and liquid droplet pollutants either emitted directly or formed in the atmosphere when other pollutants react with sunlight. It is small enough to be inhaled into the lungs and to enter the bloodstream. The unit of measurement is micrograms (one-millionth of a gram) of PM2.5 per cubic meter of air (μg/m3).,NYC Community Air Survey (NYCCAS)
Core Infrastructure & the Environment,Outdoor Air Pollution - Fine Particulate Matter (PM2.5) Levels ,Bronx CD 11,*,*,*,*,*,*,*,*,8.7,*,*,PM2.5 is fine particulate matter with a diameter smaller than 2.5 microns. It is made up of very small airborne solid and liquid droplet pollutants either emitted directly or formed in the atmosphere when other pollutants react with sunlight. It is small enough to be inhaled into the lungs and to enter the bloodstream. The unit of measurement is micrograms (one-millionth of a gram) of PM2.5 per cubic meter of air (μg/m3).,NYC Community Air Survey (NYCCAS)
Core Infrastructure & the Environment,Outdoor Air Pollution - Fine Particulate Matter (PM2.5) Levels ,Bronx CD 12,*,*,*,*,*,*,*,*,8.7,*,*,PM2.5 is fine particulate matter with a diameter smaller than 2.5 microns. It is made up of very small airborne solid and liquid droplet pollutants either emitted directly or formed in the atmosphere when other pollutants react with sunlight. It is small enough to be inhaled into the lungs and to enter the bloodstream. The unit of measurement is micrograms (one-millionth of a gram) of PM2.5 per cubic meter of air (μg/m3).,NYC Community Air Survey (NYCCAS)
Core Infrastructure & the Environment,Outdoor Air Pollution - Fine Particulate Matter (PM2.5) Levels ,Brooklyn CD 1,*,*,*,*,*,*,*,*,10.1,*,*,PM2.5 is fine particulate matter with a diameter smaller than 2.5 microns. It is made up of very small airborne solid and liquid droplet pollutants either emitted directly or formed in the atmosphere when other pollutants react with sunlight. It is small enough to be inhaled into the lungs and to enter the bloodstream. The unit of measurement is micrograms (one-millionth of a gram) of PM2.5 per cubic meter of air (μg/m3).,NYC Community Air Survey (NYCCAS)
Core Infrastructure & the Environment,Outdoor Air Pollution - Fine Particulate Matter (PM2.5) Levels ,Brooklyn CD 2,*,*,*,*,*,*,*,*,9.5,*,*,PM2.5 is fine particulate matter with a diameter smaller than 2.5 microns. It is made up of very small airborne solid and liquid droplet pollutants either emitted directly or formed in the atmosphere when other pollutants react with sunlight. It is small enough to be inhaled into the lungs and to enter the bloodstream. The unit of measurement is micrograms (one-millionth of a gram) of PM2.5 per cubic meter of air (μg/m3).,NYC Community Air Survey (NYCCAS)
Core Infrastructure & the Environment,Outdoor Air Pollution - Fine Particulate Matter (PM2.5) Levels ,Brooklyn CD 3,*,*,*,*,*,*,*,*,8.8,*,*,PM2.5 is fine particulate matter with a diameter smaller than 2.5 microns. It is made up of very small airborne solid and liquid droplet pollutants either emitted directly or formed in the atmosphere when other pollutants react with sunlight. It is small enough to be inhaled into the lungs and to enter the bloodstream. The unit of measurement is micrograms (one-millionth of a gram) of PM2.5 per cubic meter of air (μg/m3).,NYC Community Air Survey (NYCCAS)
Core Infrastructure & the Environment,Outdoor Air Pollution - Fine Particulate Matter (PM2.5) Levels ,Brooklyn CD 4,*,*,*,*,*,*,*,*,8.8,*,*,PM2.5 is fine particulate matter with a diameter smaller than 2.5 microns. It is made up of very small airborne solid and liquid droplet pollutants either emitted directly or formed in the atmosphere when other pollutants react with sunlight. It is small enough to be inhaled into the lungs and to enter the bloodstream. The unit of measurement is micrograms (one-millionth of a gram) of PM2.5 per cubic meter of air (μg/m3).,NYC Community Air Survey (NYCCAS)
Core Infrastructure & the Environment,Outdoor Air Pollution - Fine Particulate Matter (PM2.5) Levels ,Brooklyn CD 5,*,*,*,*,*,*,*,*,8.7,*,*,PM2.5 is fine particulate matter with a diameter smaller than 2.5 microns. It is made up of very small airborne solid and liquid droplet pollutants either emitted directly or formed in the atmosphere when other pollutants react with sunlight. It is small enough to be inhaled into the lungs and to enter the bloodstream. The unit of measurement is micrograms (one-millionth of a gram) of PM2.5 per cubic meter of air (μg/m3).,NYC Community Air Survey (NYCCAS)
Core Infrastructure & the Environment,Outdoor Air Pollution - Fine Particulate Matter (PM2.5) Levels ,Brooklyn CD 6,*,*,*,*,*,*,*,*,9.4,*,*,PM2.5 is fine particulate matter with a diameter smaller than 2.5 microns. It is made up of very small airborne solid and liquid droplet pollutants either emitted directly or formed in the atmosphere when other pollutants react with sunlight. It is small enough to be inhaled into the lungs and to enter the bloodstream. The unit of measurement is micrograms (one-millionth of a gram) of PM2.5 per cubic meter of air (μg/m3).,NYC Community Air Survey (NYCCAS)
Core Infrastructure & the Environment,Outdoor Air Pollution - Fine Particulate Matter (PM2.5) Levels ,Brooklyn CD 7,*,*,*,*,*,*,*,*,9.2,*,*,PM2.5 is fine particulate matter with a diameter smaller than 2.5 microns. It is made up of very small airborne solid and liquid droplet pollutants either emitted directly or formed in the atmosphere when other pollutants react with sunlight. It is small enough to be inhaled into the lungs and to enter the bloodstream. The unit of measurement is micrograms (one-millionth of a gram) of PM2.5 per cubic meter of air (μg/m3).,NYC Community Air Survey (NYCCAS)
Core Infrastructure & the Environment,Outdoor Air Pollution - Fine Particulate Matter (PM2.5) Levels ,Brooklyn CD 8,*,*,*,*,*,*,*,*,8.8,*,*,PM2.5 is fine particulate matter with a diameter smaller than 2.5 microns. It is made up of very small airborne solid and liquid droplet pollutants either emitted directly or formed in the atmosphere when other pollutants react with sunlight. It is small enough to be inhaled into the lungs and to enter the bloodstream. The unit of measurement is micrograms (one-millionth of a gram) of PM2.5 per cubic meter of air (μg/m3).,NYC Community Air Survey (NYCCAS)
Core Infrastructure & the Environment,Outdoor Air Pollution - Fine Particulate Matter (PM2.5) Levels ,Brooklyn CD 9,*,*,*,*,*,*,*,*,8.6,*,*,PM2.5 is fine particulate matter with a diameter smaller than 2.5 microns. It is made up of very small airborne solid and liquid droplet pollutants either emitted directly or formed in the atmosphere when other pollutants react with sunlight. It is small enough to be inhaled into the lungs and to enter the bloodstream. The unit of measurement is micrograms (one-millionth of a gram) of PM2.5 per cubic meter of air (μg/m3).,NYC Community Air Survey (NYCCAS)
Core Infrastructure & the Environment,Outdoor Air Pollution - Fine Particulate Matter (PM2.5) Levels ,Brooklyn CD 10,*,*,*,*,*,*,*,*,8.4,*,*,PM2.5 is fine particulate matter with a diameter smaller than 2.5 microns. It is made up of very small airborne solid and liquid droplet pollutants either emitted directly or formed in the atmosphere when other pollutants react with sunlight. It is small enough to be inhaled into the lungs and to enter the bloodstream. The unit of measurement is micrograms (one-millionth of a gram) of PM2.5 per cubic meter of air (μg/m3).,NYC Community Air Survey (NYCCAS)
