"UID","Property Name","Lon","Lat","Agency IDs and BBLs","Names","DOF Assessed Value","Delinquencies, Liens and Arrears","Addresses","Serious Violations Issued in 2010","REAC Number","Borough","CD","City Council District","Census Tract","Building Count","Unit Count","Year Built","Owner","Rental/Coop (Tenure)","Agencies","Portfolios","Owner Profit Status","Affordability Restrictions","Start Affordability Restrictions","Status Mitchell-Lama","Start Mitchell-Lama","Status LIHTC","Placed in Service (LIHTC)","Status HUD Project-Based Rental Assistance","Earliest HUD Project-Based Rental Assistance Contract Start","Status HUD Financing & Insurance","Start HUD Financing & Insurance"
,"100013","1614 ASSOCIATES","-73.9564876983121","40.6676787168327","BBL 3-01280-0046;HUD Property 800016147","1614 ASSOCIATES","352710",,"1614 BEDFORD AVENUE","0","97","Brooklyn","BK09: South Crown Heights/Lefferts Gardens","35","Brooklyn 325","1","20","1920","1614 ASSOCIATES","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions",,"Affordable","1982","Never",,"Never",,"Former","1982","Current","1983"
,"100014","1650 PRESIDENT STREET","-73.9326074929901","40.6667696653437","BBL 3-01408-0023;HUD Property 800016148","1650 PRESIDENT STREET","1113300",,"1650 PRESIDENT STREET","0","61","Brooklyn","BK09: South Crown Heights/Lefferts Gardens","41","Brooklyn 351","1","48","1923","LA HAYEEM REALTY ASSO","Rental","Housing Development Corporation;U.S. Department of Housing and Urban Development","Other HDC Mortgage;Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions",,"Affordable","1981","Never",,"Never",,"Current","1981","Current","1981"
,"100015","173 W. 141ST STREET","-73.9404558488494","40.819049691163","BBL 1-02010-0001;HUD Property 800015139","173 W. 141ST STREET","801000",,"173 WEST 141 STREET","0","94","Manhattan","MN10: Central Harlem","09","Manhattan 230","1","21","1920","FOUR H REPUBLIC LLC","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 236",,"Not Affordable","1973","Never",,"Never",,"Former","1993","Former","1973"
,"100016","1775 HOUSES","-73.9372240830269","40.8056757172065","BBL 1-01775-0006;HUD Property 800016149","1775 HOUSES","5878193",,"107 EAST 126 STREET","5","88","Manhattan","MN11: East Harlem","09","Manhattan 204","1","255","1980","1775 HOUSING ASSOC","Rental","U.S. Department of Housing and Urban Development","Other HUD Insurance without affordability restrictions;Project-Based Section 8",,"Not Affordable","1976","Never",,"Never",,"Former","1976","Never",
,"100017","1790 PITKIN AVENUE","-73.9064366969337","40.6700807668694","BBL 3-03726-0013;HUD Property 800016150","1790 PITKIN AVENUE","1918800","Listed in 2011's 90 day lien list with overdue property taxes.;Listed in 2011's 90 day lien list with overdue water charges.","1790 PITKIN AVENUE","4","62","Brooklyn","BK16: Brownsville","41","Brooklyn 906","1","90","1956","KINPIT ASSOCIATES","Rental","Department of Finance;U.S. Department of Housing and Urban Development","J-51 Tax Exemption;Project-Based Section 8",,"Affordable","1976","Never",,"Never",,"Current","1976","Never",
,"100018","1988 DAVIDSON AVENUE","-73.9087093594275","40.8532554182762","BBL 2-02863-0007;BBL 2-02863-0016;HUD Property 800016151","1988 DAVIDSON AVENUE","555930",,"1988 DAVIDSON AVENUE;2024 DAVIDSON AVENUE","1","60","Bronx","BX05: Fordham/University Heights","14","Bronx 243","4","48","1925","1988 DAVIDSON LLC","Rental","U.S. Department of Housing and Urban Development","Other HUD Insurance without affordability restrictions;Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions",,"Affordable","1982","Never",,"Never",,"Current","1982","Former","1982"
,"100019","1992 DAVIDSON AVENUE","-73.909447871268","40.852446314185","BBL 2-02863-0008;HUD Property 800016152","1992 DAVIDSON AVENUE","221670",,"1992 DAVIDSON AVENUE","2","68","Bronx","BX05: Fordham/University Heights","14","Bronx 243","1","16","1925","1992 DAVIDSON LLC","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions",,"Affordable","1980","Never",,"Never",,"Current","1980","Former","1980"
,"100020","2000-2020 DAVIDSON AVENUE","-73.9092632440562","40.8526492768357","BBL 2-02863-0010;HUD Property 800016153","2000-2020 DAVIDSON AVENUE","292440",,"2000 DAVIDSON AVENUE","4","28","Bronx","BX05: Fordham/University Heights","14","Bronx 243","1","67","1925","2000 HOLDINGS LLC","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8",,"Not Affordable","1978","Never",,"Never",,"Former","1978","Never",
,"100021","2005-2007 DAVIDSON AVENUE I","-73.9095193328253","40.8530584380823","BBL 2-02870-0040;HUD Property 800015035","2005-2007 DAVIDSON AVENUE I","773100",,"2005 DAVIDSON AVENUE","4","82","Bronx","BX05: Fordham/University Heights","14","Bronx 243","1","45","1924","LANDMINE LLC","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions",,"Affordable","1981","Never",,"Never",,"Current","1981","Former","1983"
,"100022","2059 MADISON AVENUE","-73.9377698071015","40.809233168744","BBL 1-01755-0020;BBL 1-01755-0050;HPD Application 2009-064;HUD Property 800016154","2059 MADISON AVENUE;42 East 131st Street;45 East 130th Street","868230",,"2057 MADISON AVENUE;2063 MADISON AVENUE","0","84","Manhattan","MN11: East Harlem","09","Manhattan 206","4","55","1926","2059 MADISON HOUSING","Rental","Department of Housing Preservation & Development;Housing Development Corporation;U.S. Department of Housing and Urban Development","LIHTC 4%;Other HDC Mortgage;Project-Based Section 8;Section 223 (f)","For Profit","Affordable","1976","Never",,"Current","2009","Current","1976","Never",
,"100023","222 WEST 21ST STREET","-73.9978780386563","40.7430991721173","BBL 1-00770-0054;HUD Property 800016156","222 WEST 21ST STREET","825300",,"224 WEST 21 STREET","0","94","Manhattan","MN04: Clinton/Chelsea","03","Manhattan 87","1","20","1920","222-224 WEST 21ST STR","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8",,"Not Affordable","1977","Never",,"Never",,"Former","1977","Never",
,"100024","235 BROOK AVENUE","-73.9192687766459","40.8079948084396","BBL 2-02283-0048;BBL 2-02283-0051;BBL 2-02283-0052;BBL 2-02283-0053;HUD Property 800016160","235 BROOK AVENUE","6044340",,"235 BROOK AVENUE;245 BROOK AVENUE;488 EAST 139 STREET;494 EAST 139 STREET;496 EAST 139 STREET;499 EAST 138 STREET;501 EAST 138 STREET","14","80","Bronx","BX01: Mott Haven/Melrose","08","Bronx 39","8","128","1905","BROOK-SHARP REALTY LL","Rental","Department of Finance;U.S. Department of Housing and Urban Development","J-51 Tax Exemption;Project-Based Section 8",,"Affordable","1979","Never",,"Never",,"Current","1979","Never",
,"100025","236-1 DEVELOPMENT ASSOC (BUFF)","-73.9843900418957","40.6745972192579","BBL 3-00969-0001;HUD Property 800016161","236-1 DEVELOPMENT ASSOC (BUFF)","807750","Listed in 2011's 90 day lien list with overdue property taxes.;Listed in 2011's 90 day lien list with overdue water charges.","258 1 STREET","0","100","Brooklyn","BK06: Park Slope/Carroll Gardens","39","Brooklyn 135","1","209","1931","GARDEN ESTATES LLC","Rental","U.S. Department of Housing and Urban Development","Rental Supplement Program (Rent Supp)",,"Not Affordable","1971","Never",,"Never",,"Former","1971","Never",
,"100026","236-1 DEVELOPMENT ASSOC (GREEN)","-73.9533221331833","40.7098013855374","BBL 3-02424-0012;HUD Property 800016162","236-1 DEVELOPMENT ASSOC (GREEN)","443610",,"362 SOUTH 2 STREET","0","99","Brooklyn","BK01: Greenpoint/Williamsburg","34","Brooklyn 527","1","94","1915","236-1 DEVELOPMENT ASS","Rental","U.S. Department of Housing and Urban Development","Rental Supplement Program (Rent Supp)",,"Not Affordable","1974","Never",,"Never",,"Former","1974","Never",
,"100027","236-1 DEVELOPMENT ASSOC (GREEN)","-73.9820939550363","40.6733178221061","BBL 3-00970-0077;HUD Property 800016163","236-1 DEVELOPMENT ASSOC (GREEN)","23389",,"367 2 STREET","0","84","Brooklyn","BK06: Park Slope/Carroll Gardens","39","Brooklyn 135","1","35","1901","CHRISTOPHER, LAMB","Rental","U.S. Department of Housing and Urban Development","Rental Supplement Program (Rent Supp)",,"Not Affordable","1974","Never",,"Never",,"Former","1974","Never",
,"100028","236-1 DEVELOPMENT ASSOC (GREEN)","-73.9824580486782","40.6733617945157","BBL 3-00970-0001;HUD Property 800016164","236-1 DEVELOPMENT ASSOC (GREEN)","208453",,"353 2 STREET","0","98","Brooklyn","BK06: Park Slope/Carroll Gardens","39","Brooklyn 135","1","24","1910","353 SECOND ST TENANTS","Rental","U.S. Department of Housing and Urban Development","Rental Supplement Program (Rent Supp)",,"Not Affordable","1974","Never",,"Never",,"Former","1974","Never",
,"100029","236-1 DEVELOPMENT ASSOC (GREEN)","-73.9536862736098","40.7100375817779","BBL 3-02424-0006;HUD Property 800016165","236-1 DEVELOPMENT ASSOC (GREEN)","480150",,"354 SOUTH 2 STREET","0","100","Brooklyn","BK01: Greenpoint/Williamsburg","34","Brooklyn 527","1","185","1920","236-1 DEVELOPMENT ASS","Rental","U.S. Department of Housing and Urban Development","Rental Supplement Program (Rent Supp)",,"Not Affordable","1972","Never",,"Never",,"Former","1972","Never",
,"100030","269 SOUTH 2ND STREET","-73.9567440121928","40.7115593669297","BBL 3-02409-0027;HUD Property 800016166","269 SOUTH 2ND STREET","402480","Delinquent for over $500 of taxes for at least one year, as of 10/2012;Listed in 2011's 90 day lien list with overdue property taxes.;Listed in 2011's 90 day lien list with overdue water charges.","269 SOUTH 2 STREET","0","99","Brooklyn","BK01: Greenpoint/Williamsburg","34","Brooklyn 523","1","35","1914","KRAUS, HERMAN I. TR","Rental","U.S. Department of Housing and Urban Development","Rental Supplement Program (Rent Supp)",,"Not Affordable","1970","Never",,"Never",,"Former","1970","Never",
,"100031","269 WEST 118TH STREET","-73.9534428052112","40.8055708746207","BBL 1-01924-0009;BBL 1-01924-0010;HUD Property 800016090","269 WEST 118TH STREET;271 West 118th Street","485820",,"269 WEST 118 STREET;271 WEST 118 STREET","2","43","Manhattan","MN10: Central Harlem","09","Manhattan 220","2","22","1910","ONE EIGHTEEN HOUSINGD","Rental","Department of Finance;U.S. Department of Housing and Urban Development","J-51 Tax Exemption;Project-Based Section 8;Section 221(d)(3) Below Market Interest Rate (BMIR)",,"Affordable","1970","Never",,"Never",,"Current","1985","Former","1970"
,"100032","278-282 BROOK AVENUE","-73.9184122590363","40.8083235717513","BBL 2-02267-0002;BBL 2-02267-0003;HUD Property 800016167","278-282 BROOK AVENUE","480600",,"278 BROOK AVENUE;282 BROOK AVENUE","0","91","Bronx","BX01: Mott Haven/Melrose","08","Bronx 39","2","30","1906","BROOK-SHARP REALTY LL","Rental","Department of Finance;U.S. Department of Housing and Urban Development","J-51 Tax Exemption;Project-Based Section 8",,"Not Affordable","1977","Never",,"Never",,"Former","1977","Never",
,"100033","296 BROOK AVENUE","-73.9181045471556","40.8088640631927","BBL 2-02267-0011;HUD Property 800016168","296 BROOK AVENUE","476010",,"296 BROOK AVENUE","0","93","Bronx","BX01: Mott Haven/Melrose","08","Bronx 39","1","30","1907","BROOK-SHARP REALTY LL","Rental","Department of Finance;U.S. Department of Housing and Urban Development","J-51 Tax Exemption;Project-Based Section 8",,"Not Affordable","1977","Never",,"Never",,"Former","1977","Never",
,"100034","311 WEST 94TH STREET","-73.9748165754291","40.7944668923168","BBL 1-01253-0016;HUD Property 800016169","311 WEST 94TH STREET","1247400",,"311 WEST 94 STREET","0","97","Manhattan","MN07: Upper West Side","06","Manhattan 183","1","24","1930","PAMELA FUTTERMAN","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8",,"Affordable","2001","Never",,"Never",,"Current","2001","Never",
,"100035","328-336 WEST 53RD STREET","-73.9861992016009","40.7645375343588","BBL 1-01043-0046;HUD Property 800016170","328-336 WEST 53RD STREET","3945600",,"328 WEST 53 STREET;334 WEST 53 STREET","0","99","Manhattan","MN04: Clinton/Chelsea","03","Manhattan 133","2","41","1920","328-36 W 53RD ST REDE","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions",,"Not Affordable","1979","Never",,"Never",,"Former","1979","Former","1980"
,"100036","349 CROWN STREET","-73.9477401040514","40.6663932668804","BBL 3-01291-0001;HUD Property 800016172","349 CROWN STREET","627100",,"349 CROWN STREET","6","99","Brooklyn","BK09: South Crown Heights/Lefferts Gardens","35","Brooklyn 333","1","35","1922","KZHB ASSOCIATES","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8",,"Affordable","1978","Never",,"Never",,"Current","1978","Never",
,"100037","414-24 WEST 48TH STREET","-73.991101769915","40.7625124015639","BBL 1-01057-0141;HUD Property 800016175","414-24 WEST 48TH STREET","5599800",,"414 WEST 48 STREET;424 WEST 48 STREET","0","95","Manhattan","MN04: Clinton/Chelsea","03","Manhattan 127","2","54","1930","414-24 WEST 48 ST ETA","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions",,"Not Affordable","1978","Never",,"Never",,"Former","1978","Former","1980"
,"100038","430-440 EAST 138TH STREET","-73.9218080039558","40.8081804547934","BBL 2-02282-0018;HUD Property 800016176","430-440 EAST 138TH STREET","2337300",,"430 EAST 138 STREET","1","94","Bronx","BX01: Mott Haven/Melrose","08","Bronx 25","1","148","1932","138-SHARP REALTY LLC","Rental","Department of Finance;U.S. Department of Housing and Urban Development","J-51 Tax Exemption;Project-Based Section 8",,"Affordable","1979","Never",,"Never",,"Current","1979","Never",
,"100039","477 LENOX AVENUE","-73.9418119268916","40.8134978253197","BBL 1-01918-0036;HUD Property 800016179","477 LENOX AVENUE","283590",,"477 LENOX AVENUE","2","91","Manhattan","MN10: Central Harlem","09","Manhattan 226","1","12","1926","S HOLDING CORP","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 223 (f)",,"Affordable","1977","Never",,"Never",,"Current","1977","Never",
,"100040","51 QUINCY STREET APARTMENTS","-73.9591582919165","40.6861355228891","BBL 3-01970-0001;HUD Property 800016180","51 QUINCY STREET APARTMENTS","498600",,"49 QUINCY STREET","1","39","Brooklyn","BK03: Bedford Stuyvesant","36","Brooklyn 229","1","20","1930","JMP PROPERTIES LLC","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8","For Profit","Not Affordable","1995","Never",,"Never",,"Former","1995","Never",
,"100041","520-528 WEST 145TH ST.","-73.9490929259077","40.8255505611881","BBL 1-02076-0046;BBL 1-02076-0049;HUD Property 800015276","520-528 WEST 145TH ST.;HUDSON VIEW II","2356200",,"520 WEST 145 STREET;524 WEST 145 STREET","0","87","Manhattan","MN09: Morningside Heights/Hamilton","07","Manhattan 229","2","74","1915","HV II, LLC","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions",,"Affordable","1981","Never",,"Never",,"Current","1982","Former","1981"
,"100043","587-597 EAST 139TH STREET APARTMENTS","-73.9155925222626","40.8071550360361","BBL 2-02552-0061;HUD Property 800218990","587-597 EAST 139TH STREET APARTMENTS","1555200",,"587 EAST 139 STREET","0","68","Bronx","BX01: Mott Haven/Melrose","17","Bronx 27.02","1","57","1905","NEW YORK CITY EDUCATI","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8",,"Affordable","2001","Never",,"Never",,"Current","2001","Never",
,"100044","658 MONTGOMERY STREET","-73.9429762326598","40.664700223908","BBL 3-01311-0038;HUD Property 800016186","658 MONTGOMERY STREET","747900",,"658 MONTGOMERY STREET","0","60","Brooklyn","BK09: South Crown Heights/Lefferts Gardens","35","Brooklyn 331","1","38","1925","GIVOH ASSS","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8",,"Affordable","1978","Never",,"Never",,"Current","1978","Never",
,"100045","675 EMPIRE BOULEVARD","-73.9394875404165","40.6641494869503","BBL 3-01422-0001;HUD Property 800016187","675 EMPIRE BOULEVARD","1199700",,"673 EMPIRE BOULEVARD","0","83","Brooklyn","BK09: South Crown Heights/Lefferts Gardens","35","Brooklyn 331","1","68","1928","HABRACHA ASSOCIATES","Rental","Department of Finance;U.S. Department of Housing and Urban Development","J-51 Tax Exemption;Project-Based Section 8",,"Affordable","1980","Never",,"Never",,"Current","1980","Never",
,"100046","724 DEKALB AVENUE","-73.946945019302","40.6916502628422","BBL 3-01780-0024;BBL 3-01780-0026;HUD Property 800016188","724 DEKALB AVENUE","610110",,"724 DEKALB AVENUE;726 DEKALB AVENUE","0","96","Brooklyn","BK03: Bedford Stuyvesant","36","Brooklyn 261","2","35","1931","DEKALB HOLDINGS GROUP","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8",,"Not Affordable","1976","Never",,"Never",,"Former","1976","Never",
,"100047","738 ST. MARK REHAB","-73.948735720473","40.6748119284133","BBL 3-01227-0023;HUD Property 800016189","738 ST. MARK REHAB;738 St. Marks Avenue","375030","Listed in 2011's 90 day lien list with overdue property taxes.;Listed in 2011's 90 day lien list with overdue water charges.","738 ST MARKS AVENUE","11","50","Brooklyn","BK08: Crown Heights/Prospect Heights","36","Brooklyn 317.01","1","21","1900","738 ST. MARKS EQUITIE","Rental","Housing Development Corporation;U.S. Department of Housing and Urban Development","Other HDC Mortgage;Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions",,"Not Affordable","1984","Never",,"Never",,"Former","1984","Former","1984"
,"100048","80-92 RIDGE STREET HOUSING","-73.9834455755509","40.7179176679168","BBL 1-00343-0043;HUD Property 800015728","80-92 RIDGE STREET HOUSING","6607980",,"80 RIDGE STREET","0","98","Manhattan","MN03: Lower East Side/Chinatown","01","Manhattan 12","2","100","1991","80-92 RIDGE ST HDFC,I","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 202/811",,"Affordable","1992","Never",,"Never",,"Former","1992","Current","1993"
,"100049","931-933 COLUMBUS AVENUE","-73.9627514673044","40.7989155656983","BBL 1-01841-0062;BBL 1-01841-0063;HUD Property 800016192","931-933 COLUMBUS AVENUE","416754",,"931 COLUMBUS AVENUE;933 COLUMBUS AVENUE","3","88","Manhattan","MN07: Upper West Side","08","Manhattan 189","2","16","1930","931 933 COLUMBUS AVET","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8",,"Affordable","1976","Never",,"Never",,"Current","1976","Never",
,"100050","950 ST. MARKS AVE.","-73.9404876751309","40.6743797735495","BBL 3-01230-0023;HUD Property 800016193","950 ST. MARKS AVE.","323730",,"950 ST MARKS AVENUE","2","32","Brooklyn","BK08: Crown Heights/Prospect Heights","36","Brooklyn 343","1","16","1904","950 ST MARKS APTS LLC","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions",,"Affordable","1981","Never",,"Never",,"Current","1981","Former","1981"
,"100051","A. KORNEGAY SENIOR HOUSING","-73.9361588641953","40.8052881267385","BBL 1-01775-0045;HUD Property 800213030","A. KORNEGAY SENIOR HOUSING","6054165",,"2099 LEXINGTON AVENUE","0","93","Manhattan","MN11: East Harlem","08","Manhattan 204","1","90","2003","A. KORNEGAY SENIOR HO","Rental","U.S. Department of Housing and Urban Development","Project Rental Assistance Contract (PRAC);Section 202/811",,"Affordable","2003","Never",,"Never",,"Current","2003","Current","2003"
,"100052","A.C.R.M.D LUBIN CENTER FOR INDEPENDENT LIVING","-73.9929733839893","40.677751803214","BBL 3-00461-0059;HUD Property 800015411","A.C.R.M.D LUBIN CENTER FOR INDEPENDENT LIVING","557190","Delinquent for over $500 of taxes for at least one year, as of 10/2012","79 3 STREET","0","79","Brooklyn","BK06: Park Slope/Carroll Gardens","39","Brooklyn 77","1","25","1920","ASSOCIATION FOR CHILD","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 202/811",,"Affordable","1986","Never",,"Never",,"Current","1986","Current","1986"
,"100053","ABYSSINIAN TOWERS","-73.9417961130808","40.8109260178132","BBL 1-01728-0057;HFA 1684;HUD Property 800014739;SHARS 20120023","ABYSSINIAN TOWERS","4596750",,"44 WEST 131 STREET","2","66","Manhattan","MN10: Central Harlem","09","Manhattan 208","1","100","1989","ABYSSINIAN TOWERS OWN","Rental","Housing Finance Agency;U.S. Department of Housing and Urban Development","LIHTC 4%;Project-Based Section 8;Section 202/811",,"Affordable","1990","Never",,"Current","2008","Current","1990","Current","1990"
